Language, Ratio
PHP-BitString, 19.0106963109285
Pascal-BitVector, 21.5685963630676
perl-BitVector, 0.0205612905161645
Scala-BitString, 0.105232672046972
clisp-BitVector, 0.325809612735161
Haskell-BitVector, 8.09662388342942
julia-BitString, 1
node-BitString, 0.836150753737589
C-BitString, 487.425906510003
Java-BitSet, 439.968919957319
Ruby-BitVector, 1.04536332452462
Python_DEAP-List, 0.406575689132537
Go-BitVector, 26.3878616783156
Python_DEAP_numpy-BitVector, 1.69089205754798
Dart-BitVector, 0.780318781620167
perlsimple-BitString, 1.33853783697991
C++-BitString, 12.4350512326709
lua-BitString, 2.03016706087298
perl-BitString, 0.0261239939283107
clojure-BitVector, 0.0186070129996756
Kotlin-BitVector, 9.13209839304308
Octave-BitVector, 0.0706104464529368
Scala-BitVector, 40.7753421926399
JRuby-BitVector, 2.3887695674607
Haskell-BitVector, 0.37205697410182
clisp-BitVector, 1.80545720187101
julia-BitString, 1
Scala-BitString, 0.318228589421823
Pascal-BitVector, 1.98600292205811
perl-BitVector, 0.0178518400317315
python-BitString, 0.159885594382123
CSharp-BitVector, 11.3928575152484
PHP-BitString, 0.892024158831471
Kotlin-BitVector, 7.5856561871634
Octave-BitVector, 0.00332503068375674
clojure-BitVector, 0.157529362768339
Scala-BitVector, 3.35322911108172
JRuby-BitVector, 0.250763890845266
Python_DEAP_numpy-BitVector, 0.146849174588927
C++-BitString, 0.571429412187629
Dart-BitVector, 2.60732955501918
perlsimple-BitString, 0.0746634481250745
perl-BitString, 0.0367341590564201
lua-BitString, 0.272652789958554
Ruby-BitVector, 0.470349476028401
Go-BitVector, 2.99866996055548
Python_DEAP-List, 0.159286733508562
node-BitString, 0.0925777286690939
C-BitString, 6.96110382775361
Java-BitSet, 13.8435425619167
Dart-BitVector, 1.61078052765499
C++-BitString, 1.00109170410803
perlsimple-BitString, 0.127449965731114
Python_DEAP_numpy-BitVector, 0.246651339593181
lua-BitString, 0.370063634772443
perl-BitString, 0.0386978553762658
clojure-BitVector, 0.0565512149602483
Kotlin-BitVector, 10.8311892532898
Octave-BitVector, 0.00577347113581308
JRuby-BitVector, 0.652368984644581
Scala-BitVector, 7.44669051756638
Java-BitSet, 25.5356868518581
node-BitString, 0.159152580799007
C-BitString, 20.9848637601016
Python_DEAP-List, 0.2357338344496
Go-BitVector, 5.27562988492089
Ruby-BitVector, 0.626823625740509
Scala-BitString, 0.226465292693415
Haskell-BitVector, 0.663143306007214
clisp-BitVector, 0.790270892056552
julia-BitString, 1
CSharp-BitVector, 15.8327653449086
python-BitString, 0.18567304365499
PHP-BitString, 1.55210982812752
Pascal-BitVector, 3.47719192504883
perl-BitVector, 0.0225550169010509
Scala-BitString, 0.36968212056597
julia-BitString, 1
Haskell-BitVector, 0.603398066377395
clisp-BitVector, 1.48054686459628
PHP-BitString, 1.5050400449473
python-BitString, 0.220255411515307
CSharp-BitVector, 17.2924352416215
perl-BitVector, 0.0257426175544048
Pascal-BitVector, 3.25720310211182
perl-BitString, 0.0492522368089779
lua-BitString, 0.40310422906474
Python_DEAP_numpy-BitVector, 0.239171367466191
perlsimple-BitString, 0.122864178936419
Dart-BitVector, 2.53972951431721
C++-BitString, 0.934366925448025
Scala-BitVector, 3.45302739331115
JRuby-BitVector, 1.02527938368031
clojure-BitVector, 0.103764075597206
Kotlin-BitVector, 11.4779648871298
Octave-BitVector, 0.00546409923492588
node-BitString, 0.151160982116442
C-BitString, 11.301884462567
Java-BitSet, 22.4628964785851
Ruby-BitVector, 0.735269787707375
Python_DEAP-List, 0.248871331696591
Go-BitVector, 4.65010611932913
julia-BitString, 1
clisp-BitVector, 2.87000338236491
Haskell-BitVector, 0.293236501161185
Scala-BitString, 0.248753141431963
perl-BitVector, 0.0163928064929426
Pascal-BitVector, 1.72200202941895
PHP-BitString, 0.784826357195622
CSharp-BitVector, 9.05983074351
python-BitString, 0.151211980103525
JRuby-BitVector, 0.136395366312309
Scala-BitVector, 1.04180414457208
clojure-BitVector, 0.190532971035531
Kotlin-BitVector, 2.57907009119285
Octave-BitVector, 0.00289430006665781
perl-BitString, 0.0356905666631213
lua-BitString, 0.244797286110961
Dart-BitVector, 1.30732009521633
perlsimple-BitString, 0.0629817173806273
C++-BitString, 0.432446516679795
Python_DEAP_numpy-BitVector, 0.127137564559445
Go-BitVector, 2.39967941521881
Python_DEAP-List, 0.143625841729759
Ruby-BitVector, 0.441386590352573
Java-BitSet, 2.70538902712934
node-BitString, 0.0816512045413296
C-BitString, 5.98332880270655
Python_DEAP_numpy-BitVector, 0.153336693838522
perlsimple-BitString, 198.074645895394
Dart-BitVector, 3.58657818302176
C++-BitString, 0.299573909938808
perl-BitString, 0.159869305599947
lua-BitString, 0.0462689318704173
Kotlin-BitVector, 2.62650635933918
perl5.20-BitString, 0.785168253417908
clojure-BitVector, 87018.9181738071
Octave-BitVector, 94.3337649117675
Scala-BitVector, 6807.68761764068
JRuby-BitVector, 4.7016491238461
C-BitString, 7.79499674078201
node-BitString, 3.86426091882119
Java-BitSet, 1058175704.41808
Ruby-BitVector, 3.10649560190549
Go-BitVector, 1.11484751161813
Python_DEAP-List, 0.401136419605546
Scala-BitString, 1.27112608139414
Haskell-BitVector, 272.483501462851
clisp-BitVector, 0.101180643171539
julia-BitString, 1
python-BitString, 10.5214328138133
CSharp-BitVector, 12.4022074296082
PHP-BitString, 0.224958451613552
perl5.22-BitString, 0.796624697301324
clojure-persistentvector, 89509.9966214411
Python-BitString, 0.0763518578417149
Pascal-BitVector, 3.93786760231921
perl-BitVector, 1.01014703340744
Scala-BitString, 2.30518884142881
Haskell-BitVector, 1676.6409676133
clisp-BitVector, 4.1633109639847
julia-BitString, 1
python-BitString, 13.2259213519843
CSharp-BitVector, 86.0913299746894
Rust-BitVector, 2.69085135373374
PHP-BitString, 0.403351730273978
perl5.22-BitString, 1.38666525831007
clojure-persistentvector, 4517.17941805891
Python-BitString, 0.152211024888323
Pascal-BitVector, 6.79404079050258
perl-BitVector, 1.40617506320793
Python_DEAP_numpy-BitVector, 0.271342003178434
Dart-BitVector, 6.51932222108202
C++-BitString, 0.542817128957666
perlsimple-BitString, 17.2896121378584
lua-BitString, 0.271021797103939
perl-BitString, 0.243862997820203
Octave-BitVector, 18.3554421403973
perl5.20-BitString, 1.4051752765521
Kotlin-BitVector, 4.81255843419632
clojure-BitVector, 5161.57632824222
Scala-BitVector, 929.785837811329
JRuby-BitVector, 12.2829957965581
node-BitString, 6.99735135938052
C-BitString, 14.0292506844115
Java-BitSet, 8467.36364915736
Ruby-BitVector, 5.65200613032415
Go-BitVector, 1.95252133483848
Python_DEAP-List, 0.700259742431327
perl-BitVector, 1.28280208233023
Python-BitString, 0.111290364091442
Pascal-BitVector, 5.12010040779539
PHP-BitString, 0.298796915095506
clojure-persistentvector, 15497.6832887031
perl5.22-BitString, 1.05282916658822
python-BitString, 13.3186381628531
Rust-BitVector, 2.00815830637564
CSharp-BitVector, 61.0035216342359
julia-BitString, 1
clisp-BitVector, 0.878496625651844
Haskell-BitVector, 1401.55389202906
Scala-BitString, 1.65423272329024
Ruby-BitVector, 4.13127781805355
Python_DEAP-List, 0.547459313481231
Go-BitVector, 1.4362556214454
C-BitString, 10.3603266852235
node-BitString, 5.17499836604743
Java-BitSet, 24867.1970551842
Scala-BitVector, 975.567246788684
JRuby-BitVector, 7.59637982051164
perl5.20-BitString, 1.05473288368764
clojure-BitVector, 13000.7354085537
Kotlin-BitVector, 3.51957741800985
Octave-BitVector, 44.8602057734286
lua-BitString, 0.156884289728071
perl-BitString, 0.205988623960664
Python_DEAP_numpy-BitVector, 0.203069665485522
perlsimple-BitString, 45.1983594945265
Dart-BitVector, 4.79333401672233
C++-BitString, 0.399111836431617
C-BitString, 11.552631157748
node-BitString, 5.73690964950845
Java-BitSet, 13603.084922312
Ruby-BitVector, 4.55260239820767
Go-BitVector, 1.62873392529434
Python_DEAP-List, 0.597640253280975
Python_DEAP_numpy-BitVector, 0.227231733170409
C++-BitString, 0.445046013920712
Dart-BitVector, 5.35140599090271
perlsimple-BitString, 26.0586657654557
perl-BitString, 0.219538390801031
lua-BitString, 0.208980788605834
perl5.20-BitString, 1.16394676292137
clojure-BitVector, 7490.48644985134
Kotlin-BitVector, 3.93700243481577
Octave-BitVector, 28.1433323892325
Scala-BitVector, 1592.13104054581
JRuby-BitVector, 9.99322656935791
python-BitString, 13.2947066036772
CSharp-BitVector, 68.8594865332426
Rust-BitVector, 2.24263418669346
PHP-BitString, 0.332557730613072
perl5.22-BitString, 1.1745076325963
clojure-persistentvector, 6754.68188019565
Python-BitString, 0.125591651914956
Pascal-BitVector, 5.62694090126205
perl-BitVector, 1.34871559693293
Scala-BitString, 1.93134806015733
clisp-BitVector, 1.93448156454931
Haskell-BitVector, 1849.54631351464
julia-BitString, 1
julia-BitString, 1
clisp-BitVector, 9.05998276169823
Haskell-BitVector, 1521.5569135675
Scala-BitString, 2.97172958099375
perl-BitVector, 1.49584202922867
Python-BitString, 0.202796215794731
Pascal-BitVector, 9.35309985104729
PHP-BitString, 0.548079719652491
clojure-persistentvector, 3134.24075228
perl5.22-BitString, 1.80593970839457
python-BitString, 13.3222202877889
CSharp-BitVector, 116.865197522944
Rust-BitVector, 3.65854654037202
Scala-BitVector, 649.395347499458
JRuby-BitVector, 15.3314815179094
perl5.20-BitString, 1.86868862555352
Octave-BitVector, 12.5639702632308
Kotlin-BitVector, 6.53844664637057
clojure-BitVector, 3483.81090606696
perl-BitString, 0.281932398310888
lua-BitString, 0.392702373741361
Python_DEAP_numpy-BitVector, 0.364213905079458
perlsimple-BitString, 11.698170074367
Dart-BitVector, 8.8280637424139
C++-BitString, 0.730190799144929
Ruby-BitVector, 7.7580741094048
Go-BitVector, 2.56714538134117
Python_DEAP-List, 0.954720864276746
C-BitString, 18.9244993683376
node-BitString, 9.38507133870438
Java-BitSet, 5750.63282896693
perl-BitVector, 1.12671575390584
Python-BitString, 0.0938766933244912
Pascal-BitVector, 4.40178426438536
PHP-BitString, 0.248336584236494
clojure-persistentvector, 8607.6042497794
perl5.22-BitString, 0.890683183572476
python-BitString, 11.7394219880259
Rust-BitVector, 1.69157590495684
CSharp-BitVector, 14.3670615294693
julia-BitString, 1
Haskell-BitVector, 451.289393965485
