Language, Ratio
Java-BitSet, 120.332137539126
CSharp-BitVector, 68.8725799701996
Dart-List, 0.856466130353644
Python_DEAP_numpy-BitVector, 0.708680535522621
Kotlin-BitVector, 5.23021981563543
clisp-BitVector, 0.360224463722923
node-BitString, 0.456076302287223
Python_DEAP-List, 0.351866045745354
Scala-BitString, 0.111034086221387
C++-BitString, 3.41582348290464
Go-Vector, 31.570314518093
Scala-BitVector, 24.5512173943483
PHP-BitString, 5.34983583338708
Octave-BitVector, 0.0188853547207344
Haskell-Sequence, 0.446213947991278
Pascal-BitVector, 5.94370365142822
Python-BitString, 0.20500902482817
Go-BitVector, 28.0452145534187
Python_DEAP-List, 0.249895362424757
node-BitString, 0.189666916287334
Go-Vector, 11.7127172623206
Scala-BitVector, 8.89330094631421
C++-BitString, 1.25388732281037
Scala-BitString, 0.151439686005406
Haskell-Sequence, 0.216931157360213
Pascal-BitVector, 4.35500144958496
Octave-BitVector, 0.0069624078853519
PHP-BitString, 1.93272669558774
Go-BitVector, 11.4176688027312
Python-BitString, 0.182444353426013
julia-BitString, 1
C-BitString, 44.9896843965389
lua-BitString, 0.408111764446492
JRuby-BitVector, 1.06380584402949
Ruby-BitVector, 0.607421145440935
clojure-BitVector, 0.03263593950584
perlsimple-BitString, 0.16020340674307
Python_DEAP_numpy-BitVector, 0.301338304866038
Dart-List, 1.14710956132885
CSharp-BitVector, 23.4720354079172
Java-BitSet, 32.2398544401406
clisp-BitVector, 0.512353111715878
Kotlin-BitVector, 10.1473767923278
node-BitString, 0.159152580799007
Python_DEAP-List, 0.2357338344496
Scala-BitString, 0.226465292693415
C++-BitString, 1.00109170410803
Scala-BitVector, 7.44669051756638
Go-Vector, 8.7300651292913
Octave-BitVector, 0.00577347113581308
PHP-BitString, 1.55210982812752
Pascal-BitVector, 3.47719192504883
Haskell-Sequence, 0.198743244134273
Python-BitString, 0.18567304365499
Go-BitVector, 8.8291675142373
C-BitString, 20.9848637601016
lua-BitString, 0.370063634772443
julia-BitString, 1
perlsimple-BitString, 0.127449965731114
clojure-BitVector, 0.0565512149602483
Ruby-BitVector, 0.626823625740509
JRuby-BitVector, 0.652368984644581
Java-BitSet, 25.5356868518581
CSharp-BitVector, 15.8327653449086
Dart-List, 1.61078052765499
Python_DEAP_numpy-BitVector, 0.246651339593181
Kotlin-BitVector, 10.8311892532898
clisp-BitVector, 0.790270892056552
Python_DEAP-List, 0.406575689132537
node-BitString, 0.836150753737589
Scala-BitVector, 40.7753421926399
Go-Vector, 113.785995936608
C++-BitString, 12.4350512326709
Scala-BitString, 0.105232672046972
Pascal-BitVector, 21.5685963630676
Haskell-Sequence, 1.33583938926847
PHP-BitString, 19.0106963109285
Octave-BitVector, 0.0706104464529368
Go-BitVector, 115.912802120787
Python-BitString, 0.219283306270036
julia-BitString, 1
lua-BitString, 2.03016706087298
C-BitString, 487.425906510003
JRuby-BitVector, 2.3887695674607
Ruby-BitVector, 1.04536332452462
clojure-BitVector, 0.0186070129996756
perlsimple-BitString, 1.33853783697991
Dart-List, 0.780318781620167
Python_DEAP_numpy-BitVector, 1.69089205754798
CSharp-BitVector, 246.24496361534
Java-BitSet, 439.968919957319
clisp-BitVector, 0.325809612735161
Kotlin-BitVector, 9.13209839304308
Scala-BitString, 0.0905004406266234
C++-BitString, 85.3444443732756
Scala-BitVector, 282.022284632969
Go-Vector, 748.43400588323
Python_DEAP-List, 0.38707936150972
node-BitString, 0.780684908446878
Python-BitString, 0.187308733645807
Go-BitVector, 726.036482831515
Octave-BitVector, 0.491114511004007
PHP-BitString, 137.798621222146
Haskell-Sequence, 8.31824165773637
perlsimple-BitString, 5.33578598361086
Ruby-BitVector, 0.814607387864748
clojure-BitVector, 0.0149117163988734
JRuby-BitVector, 1.80698910003421
C-BitString, 3182.18067161038
lua-BitString, 2.97129195530007
julia-BitString, 1
